strategy,asset,tf,bench_ret,bench_sharpe,ret_none,shp_none,trd_none,ret_up,shp_up,trd_up,ret_trend,shp_trend,trd_trend
momentum,LINK,1d,-34.552612741589115,-0.1589016061878744,-30.37,-0.407,10,-10.27,-0.076,4,-44.68,-1.04,7
volume_weighted,LINK,1d,-34.552612741589115,-0.1589016061878744,-11.21,0.139,3,-5.58,-0.147,1,-5.58,-0.147,1
triple_ema,LINK,1d,-34.552612741589115,-0.1589016061878744,-16.14,-0.163,6,6.16,0.339,2,6.16,0.339,2
rsi_macd_combo,LINK,1d,-34.552612741589115,-0.1589016061878744,-28.42,-0.329,2,0.0,0.0,0,-48.42,-1.04,1
stoch_rsi,LINK,1d,-34.552612741589115,-0.1589016061878744,-12.07,-0.03,7,0.8,0.186,3,-26.16,-0.456,6
supertrend,LINK,1d,-34.552612741589115,-0.1589016061878744,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,LINK,1d,-34.552612741589115,-0.1589016061878744,-40.09,-0.879,4,-36.46,-0.818,2,-36.46,-0.818,2
pairs_spread,LINK,1d,-34.552612741589115,-0.1589016061878744,-43.49,-0.996,3,0.0,0.0,0,-43.49,-0.996,3
squeeze_momentum,LINK,1d,-34.552612741589115,-0.1589016061878744,-58.08,-1.316,2,-43.56,-1.129,2,-43.56,-1.129,2
atr_breakout,LINK,1d,-34.552612741589115,-0.1589016061878744,-32.5,-0.28,3,-45.11,-0.668,3,-42.83,-0.551,3
amd_ifvg,LINK,1d,-34.552612741589115,-0.1589016061878744,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,LINK,1d,-34.552612741589115,-0.1589016061878744,-4.45,0.156,7,-22.1,-0.352,5,-22.1,-0.352,5
order_blocks,LINK,1d,-34.552612741589115,-0.1589016061878744,-44.29,-0.624,3,-46.5,-0.749,3,-44.29,-0.624,3
vwap_reversion,LINK,1d,-34.552612741589115,-0.1589016061878744,-36.98,-0.269,91,-6.2,0.075,33,-20.31,-0.083,58
chart_pattern,LINK,1d,-34.552612741589115,-0.1589016061878744,-36.06,-0.923,1,-36.06,-0.923,1,-36.06,-0.923,1
liquidity_sweeps,LINK,1d,-34.552612741589115,-0.1589016061878744,-34.65,-0.634,1,0.0,0.0,0,-16.88,-0.318,1
parabolic_sar,LINK,1d,-34.552612741589115,-0.1589016061878744,-28.68,-0.241,15,1.11,0.232,6,-44.63,-0.774,11
range_scalper,LINK,1d,-34.552612741589115,-0.1589016061878744,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,LINK,1d,-34.552612741589115,-0.1589016061878744,-23.6,-0.512,1,0.0,0.0,0,-23.6,-0.512,1
adx_trend,LINK,1d,-34.552612741589115,-0.1589016061878744,-46.32,-0.537,3,-46.32,-0.537,3,-46.32,-0.537,3
donchian_breakout,LINK,1d,-34.552612741589115,-0.1589016061878744,24.98,0.708,3,-1.08,0.192,3,-1.08,0.192,3
tema_cross,LINK,1d,-34.552612741589115,-0.1589016061878744,15.07,0.546,4,20.39,0.68,2,20.39,0.68,2
sma_crossover,BTC,4h,-28.87832475634141,-0.6384112315597915,-12.56,-0.407,26,7.72,0.5,8,5.8,0.384,11
ema_crossover,BTC,4h,-28.87832475634141,-0.6384112315597915,-44.25,-2.061,47,-28.09,-1.849,18,-28.36,-1.74,21
rsi,BTC,4h,-28.87832475634141,-0.6384112315597915,-21.92,-0.574,9,0.0,0.0,0,-21.92,-0.574,9
bollinger_bands,BTC,4h,-28.87832475634141,-0.6384112315597915,-7.6,-0.112,24,0.0,0.0,0,2.15,0.219,21
macd,BTC,4h,-28.87832475634141,-0.6384112315597915,-34.51,-1.198,87,-14.81,-1.201,18,-37.04,-1.543,55
mean_reversion,BTC,4h,-28.87832475634141,-0.6384112315597915,-23.48,-0.73,31,-11.1,-1.341,2,-23.08,-0.758,25
momentum,BTC,4h,-28.87832475634141,-0.6384112315597915,-33.8,-1.364,13,-26.19,-1.145,10,-27.74,-1.19,11
volume_weighted,BTC,4h,-28.87832475634141,-0.6384112315597915,7.86,0.422,18,-7.79,-0.257,8,-7.97,-0.249,12
triple_ema,BTC,4h,-28.87832475634141,-0.6384112315597915,-19.38,-0.869,37,-13.66,-1.031,13,-15.23,-1.092,14
rsi_macd_combo,BTC,4h,-28.87832475634141,-0.6384112315597915,-24.99,-0.708,12,0.0,0.0,0,-32.76,-1.065,10
stoch_rsi,BTC,4h,-28.87832475634141,-0.6384112315597915,-29.6,-1.094,51,-20.03,-1.659,10,-8.56,-0.232,42
supertrend,BTC,4h,-28.87832475634141,-0.6384112315597915,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,BTC,4h,-28.87832475634141,-0.6384112315597915,-7.4,-0.201,11,-13.39,-0.671,5,-13.39,-0.671,5
pairs_spread,BTC,4h,-28.87832475634141,-0.6384112315597915,-6.77,-0.104,25,0.0,0.0,0,-1.36,0.085,21
squeeze_momentum,BTC,4h,-28.87832475634141,-0.6384112315597915,-9.27,-0.248,12,-15.03,-0.851,7,-15.03,-0.851,7
atr_breakout,BTC,4h,-28.87832475634141,-0.6384112315597915,-29.14,-1.27,23,-25.2,-1.289,17,-19.88,-0.896,17
amd_ifvg,BTC,4h,-28.87832475634141,-0.6384112315597915,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,BTC,4h,-28.87832475634141,-0.6384112315597915,-28.02,-1.027,49,-25.95,-1.236,31,-28.44,-1.168,39
order_blocks,BTC,4h,-28.87832475634141,-0.6384112315597915,-11.62,-0.399,21,-19.46,-1.157,13,-6.04,-0.188,16
vwap_reversion,BTC,4h,-28.87832475634141,-0.6384112315597915,-37.35,-1.361,174,-18.55,-1.329,54,-45.16,-2.116,121
chart_pattern,BTC,4h,-28.87832475634141,-0.6384112315597915,-28.2,-1.155,17,-30.2,-1.522,14,-28.27,-1.358,14
liquidity_sweeps,BTC,4h,-28.87832475634141,-0.6384112315597915,-33.57,-1.196,10,-4.78,-0.446,3,-31.15,-1.178,9
parabolic_sar,BTC,4h,-28.87832475634141,-0.6384112315597915,-40.41,-1.627,96,-26.06,-1.728,30,-40.21,-1.962,65
range_scalper,BTC,4h,-28.87832475634141,-0.6384112315597915,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,BTC,4h,-28.87832475634141,-0.6384112315597915,-24.74,-0.878,3,0.0,0.0,0,-17.35,-0.92,1
adx_trend,BTC,4h,-28.87832475634141,-0.6384112315597915,-41.98,-1.508,14,-41.98,-1.508,14,-41.98,-1.508,14
donchian_breakout,BTC,4h,-28.87832475634141,-0.6384112315597915,-22.3,-0.774,24,-17.51,-0.65,20,-17.51,-0.65,20
tema_cross,BTC,4h,-28.87832475634141,-0.6384112315597915,-17.45,-1.219,29,-10.42,-1.11,10,-10.42,-1.11,10
sma_crossover,ETH,4h,-19.942043523085072,-0.042376768921321695,-3.12,0.122,24,-41.77,-1.967,11,-5.34,-0.009,14
ema_crossover,ETH,4h,-19.942043523085072,-0.042376768921321695,-25.31,-0.471,39,-24.64,-1.07,14,-31.04,-1.265,17
rsi,ETH,4h,-19.942043523085072,-0.042376768921321695,-4.73,0.103,9,0.0,0.0,0,-4.73,0.103,9
bollinger_bands,ETH,4h,-19.942043523085072,-0.042376768921321695,-30.21,-0.523,22,0.0,0.0,0,-25.16,-0.407,19
macd,ETH,4h,-19.942043523085072,-0.042376768921321695,-27.11,-0.456,85,-13.44,-0.547,20,-27.08,-0.613,53
mean_reversion,ETH,4h,-19.942043523085072,-0.042376768921321695,-1.9,0.171,31,-0.14,-0.062,1,-0.59,0.186,23
momentum,ETH,4h,-19.942043523085072,-0.042376768921321695,-31.77,-0.686,27,9.65,0.443,16,0.49,0.192,19
volume_weighted,ETH,4h,-19.942043523085072,-0.042376768921321695,13.6,0.514,15,4.24,0.293,8,25.5,0.771,12
triple_ema,ETH,4h,-19.942043523085072,-0.042376768921321695,-22.82,-0.534,37,-28.86,-1.854,12,-33.36,-2.145,14
rsi_macd_combo,ETH,4h,-19.942043523085072,-0.042376768921321695,-25.73,-0.379,14,0.33,0.082,1,-32.92,-0.628,11
stoch_rsi,ETH,4h,-19.942043523085072,-0.042376768921321695,-6.54,0.084,48,20.05,0.813,14,37.56,0.961,43
supertrend,ETH,4h,-19.942043523085072,-0.042376768921321695,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,ETH,4h,-19.942043523085072,-0.042376768921321695,66.46,1.435,7,83.28,1.749,4,83.28,1.749,4
pairs_spread,ETH,4h,-19.942043523085072,-0.042376768921321695,-16.03,-0.196,22,0.0,0.0,0,-12.4,-0.108,20
squeeze_momentum,ETH,4h,-19.942043523085072,-0.042376768921321695,4.47,0.315,5,-28.24,-0.773,3,-28.24,-0.773,3
atr_breakout,ETH,4h,-19.942043523085072,-0.042376768921321695,15.69,0.553,23,29.99,0.929,13,17.11,0.61,17
amd_ifvg,ETH,4h,-19.942043523085072,-0.042376768921321695,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,ETH,4h,-19.942043523085072,-0.042376768921321695,-48.4,-1.215,56,-5.13,-0.008,26,-25.05,-0.599,34
order_blocks,ETH,4h,-19.942043523085072,-0.042376768921321695,-6.38,0.086,22,-6.03,-0.11,9,-2.99,0.081,15
vwap_reversion,ETH,4h,-19.942043523085072,-0.042376768921321695,-27.85,-0.441,175,-13.97,-0.405,61,-40.89,-1.029,128
chart_pattern,ETH,4h,-19.942043523085072,-0.042376768921321695,-3.84,0.118,10,-6.4,0.043,9,-6.4,0.043,9
liquidity_sweeps,ETH,4h,-19.942043523085072,-0.042376768921321695,-38.65,-0.846,9,-5.22,-1.072,1,-33.56,-0.765,8
parabolic_sar,ETH,4h,-19.942043523085072,-0.042376768921321695,-38.94,-0.76,89,-13.68,-0.45,25,-38.32,-0.952,62
range_scalper,ETH,4h,-19.942043523085072,-0.042376768921321695,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,ETH,4h,-19.942043523085072,-0.042376768921321695,-18.02,-0.079,4,0.0,0.0,0,-46.59,-0.917,3
adx_trend,ETH,4h,-19.942043523085072,-0.042376768921321695,4.78,0.318,16,4.78,0.318,16,4.78,0.318,16
donchian_breakout,ETH,4h,-19.942043523085072,-0.042376768921321695,-16.74,-0.199,23,-10.31,-0.082,18,-10.31,-0.082,18
tema_cross,ETH,4h,-19.942043523085072,-0.042376768921321695,2.28,0.221,25,11.41,0.69,8,6.13,0.391,12
sma_crossover,SOL,4h,-46.880269814502526,-0.5616775994226394,-11.17,-0.032,24,-30.12,-1.088,9,-24.7,-0.766,10
ema_crossover,SOL,4h,-46.880269814502526,-0.5616775994226394,-51.94,-1.379,44,-25.99,-0.729,17,-28.82,-0.827,18
rsi,SOL,4h,-46.880269814502526,-0.5616775994226394,-18.14,-0.115,10,0.0,0.0,0,-16.36,-0.075,10
bollinger_bands,SOL,4h,-46.880269814502526,-0.5616775994226394,-16.39,-0.079,24,7.92,1.685,1,-19.77,-0.209,20
macd,SOL,4h,-46.880269814502526,-0.5616775994226394,-42.56,-0.809,83,-10.43,-0.364,21,-24.28,-0.42,49
mean_reversion,SOL,4h,-46.880269814502526,-0.5616775994226394,-42.04,-0.884,33,3.67,0.587,2,-36.16,-0.775,28
momentum,SOL,4h,-46.880269814502526,-0.5616775994226394,-52.29,-1.268,31,-30.57,-0.754,21,-38.59,-0.958,25
volume_weighted,SOL,4h,-46.880269814502526,-0.5616775994226394,-21.03,-0.385,15,-0.67,0.132,6,-3.5,0.061,10
triple_ema,SOL,4h,-46.880269814502526,-0.5616775994226394,-43.04,-1.32,40,-23.03,-0.812,15,-28.19,-1.04,17
rsi_macd_combo,SOL,4h,-46.880269814502526,-0.5616775994226394,-30.1,-0.394,12,0.0,0.0,0,-34.36,-0.539,11
stoch_rsi,SOL,4h,-46.880269814502526,-0.5616775994226394,-21.88,-0.218,47,0.16,0.138,13,4.17,0.328,41
supertrend,SOL,4h,-46.880269814502526,-0.5616775994226394,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,SOL,4h,-46.880269814502526,-0.5616775994226394,6.34,0.367,8,-9.34,-0.014,7,-9.34,-0.014,7
pairs_spread,SOL,4h,-46.880269814502526,-0.5616775994226394,-34.04,-0.678,25,0.0,0.0,0,-32.6,-0.687,21
squeeze_momentum,SOL,4h,-46.880269814502526,-0.5616775994226394,-22.92,-0.24,6,11.07,0.463,3,-16.79,-0.127,4
atr_breakout,SOL,4h,-46.880269814502526,-0.5616775994226394,-59.3,-1.684,29,-47.25,-1.604,16,-59.67,-2.077,21
amd_ifvg,SOL,4h,-46.880269814502526,-0.5616775994226394,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,SOL,4h,-46.880269814502526,-0.5616775994226394,-42.69,-1.016,61,-30.0,-0.837,37,-34.77,-0.868,46
order_blocks,SOL,4h,-46.880269814502526,-0.5616775994226394,-28.23,-0.419,23,-27.24,-0.792,11,-33.38,-0.717,17
vwap_reversion,SOL,4h,-46.880269814502526,-0.5616775994226394,-41.23,-0.674,182,-17.72,-0.45,61,-47.36,-1.101,132
chart_pattern,SOL,4h,-46.880269814502526,-0.5616775994226394,-15.0,-0.141,9,-2.76,0.133,7,-2.76,0.133,7
liquidity_sweeps,SOL,4h,-46.880269814502526,-0.5616775994226394,-34.54,-0.657,8,0.0,0.0,0,-33.97,-0.687,7
parabolic_sar,SOL,4h,-46.880269814502526,-0.5616775994226394,-41.62,-0.788,90,4.85,0.309,27,-20.74,-0.305,61
range_scalper,SOL,4h,-46.880269814502526,-0.5616775994226394,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,SOL,4h,-46.880269814502526,-0.5616775994226394,-45.64,-0.669,2,0.0,0.0,0,-43.6,-0.641,1
adx_trend,SOL,4h,-46.880269814502526,-0.5616775994226394,-67.34,-2.116,14,-67.34,-2.116,14,-67.34,-2.116,14
donchian_breakout,SOL,4h,-46.880269814502526,-0.5616775994226394,-32.36,-0.547,23,-37.59,-0.84,19,-38.89,-0.847,20
tema_cross,SOL,4h,-46.880269814502526,-0.5616775994226394,-7.58,-0.127,29,-2.86,-0.028,12,-2.86,-0.028,12
sma_crossover,XRP,4h,-36.70344302834315,-0.3705056667384541,0.17,0.208,24,11.22,0.488,8,11.04,0.483,9
ema_crossover,XRP,4h,-36.70344302834315,-0.3705056667384541,-42.76,-1.099,42,-29.64,-1.985,11,-35.38,-2.254,13
rsi,XRP,4h,-36.70344302834315,-0.3705056667384541,0.35,0.271,13,0.0,0.0,0,4.61,0.349,13
bollinger_bands,XRP,4h,-36.70344302834315,-0.3705056667384541,-11.99,0.014,21,0.0,0.0,0,-8.17,0.08,17
macd,XRP,4h,-36.70344302834315,-0.3705056667384541,-49.34,-1.167,94,-24.37,-1.067,24,-59.0,-2.202,58
mean_reversion,XRP,4h,-36.70344302834315,-0.3705056667384541,-49.68,-1.266,27,-3.02,-0.57,1,-42.23,-1.034,24
momentum,XRP,4h,-36.70344302834315,-0.3705056667384541,-37.87,-0.866,27,-22.76,-0.564,17,-30.71,-0.785,21
volume_weighted,XRP,4h,-36.70344302834315,-0.3705056667384541,-42.15,-0.884,11,-26.13,-1.138,4,-45.1,-1.044,9
triple_ema,XRP,4h,-36.70344302834315,-0.3705056667384541,-34.43,-0.948,32,-37.66,-1.946,17,-37.66,-1.946,17
rsi_macd_combo,XRP,4h,-36.70344302834315,-0.3705056667384541,-21.5,-0.201,15,17.94,1.173,1,-16.8,-0.106,13
stoch_rsi,XRP,4h,-36.70344302834315,-0.3705056667384541,0.27,0.253,53,-20.26,-0.561,15,16.93,0.571,44
supertrend,XRP,4h,-36.70344302834315,-0.3705056667384541,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,XRP,4h,-36.70344302834315,-0.3705056667384541,-26.97,-0.531,14,2.57,0.229,6,2.57,0.229,6
pairs_spread,XRP,4h,-36.70344302834315,-0.3705056667384541,-40.28,-0.972,23,0.0,0.0,0,-34.43,-0.811,19
squeeze_momentum,XRP,4h,-36.70344302834315,-0.3705056667384541,-36.02,-0.875,10,-33.09,-1.291,5,-27.01,-0.856,6
atr_breakout,XRP,4h,-36.70344302834315,-0.3705056667384541,-53.27,-1.46,28,-41.6,-1.254,18,-48.35,-1.413,22
amd_ifvg,XRP,4h,-36.70344302834315,-0.3705056667384541,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,XRP,4h,-36.70344302834315,-0.3705056667384541,-28.34,-0.567,59,-9.98,-0.204,29,-30.13,-0.872,41
order_blocks,XRP,4h,-36.70344302834315,-0.3705056667384541,-25.56,-0.459,17,2.26,0.243,9,-25.29,-0.534,15
vwap_reversion,XRP,4h,-36.70344302834315,-0.3705056667384541,-54.18,-1.292,157,-14.09,-0.465,50,-48.04,-1.215,109
chart_pattern,XRP,4h,-36.70344302834315,-0.3705056667384541,-36.44,-0.752,13,-17.8,-0.388,11,-17.8,-0.388,11
liquidity_sweeps,XRP,4h,-36.70344302834315,-0.3705056667384541,-36.59,-0.681,9,0.0,0.0,0,-14.49,-0.112,7
parabolic_sar,XRP,4h,-36.70344302834315,-0.3705056667384541,-16.62,-0.15,87,-0.38,0.109,22,-18.05,-0.347,59
range_scalper,XRP,4h,-36.70344302834315,-0.3705056667384541,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,XRP,4h,-36.70344302834315,-0.3705056667384541,-54.11,-1.205,1,0.0,0.0,0,3.93,0.295,1
adx_trend,XRP,4h,-36.70344302834315,-0.3705056667384541,-12.26,-0.075,12,-12.26,-0.075,12,-12.26,-0.075,12
donchian_breakout,XRP,4h,-36.70344302834315,-0.3705056667384541,-40.14,-0.998,26,-32.58,-0.87,20,-30.13,-0.773,20
tema_cross,XRP,4h,-36.70344302834315,-0.3705056667384541,-5.73,-0.104,28,-21.36,-1.675,15,-21.36,-1.675,15
sma_crossover,DOGE,4h,-47.203000369763885,-0.4377586807234994,-18.53,-0.179,26,-27.88,-1.095,8,7.65,0.383,10
ema_crossover,DOGE,4h,-47.203000369763885,-0.4377586807234994,-42.56,-0.855,38,-6.42,-0.011,14,-9.28,-0.094,15
rsi,DOGE,4h,-47.203000369763885,-0.4377586807234994,-32.51,-0.487,7,0.0,0.0,0,-32.51,-0.487,7
bollinger_bands,DOGE,4h,-47.203000369763885,-0.4377586807234994,-4.66,0.159,21,1.43,0.238,1,-13.42,-0.071,18
macd,DOGE,4h,-47.203000369763885,-0.4377586807234994,-53.09,-0.992,95,1.94,0.21,24,-43.53,-0.942,58
mean_reversion,DOGE,4h,-47.203000369763885,-0.4377586807234994,-25.37,-0.263,29,2.61,0.509,2,-18.49,-0.155,25
momentum,DOGE,4h,-47.203000369763885,-0.4377586807234994,-53.33,-1.244,34,-27.7,-0.552,21,-39.96,-0.904,26
volume_weighted,DOGE,4h,-47.203000369763885,-0.4377586807234994,-22.28,-0.169,20,-1.2,0.132,9,-13.23,-0.055,12
triple_ema,DOGE,4h,-47.203000369763885,-0.4377586807234994,-29.33,-0.584,28,-33.72,-1.197,16,-33.72,-1.197,16
rsi_macd_combo,DOGE,4h,-47.203000369763885,-0.4377586807234994,-44.02,-0.676,12,-3.14,-0.194,2,-46.7,-0.839,9
stoch_rsi,DOGE,4h,-47.203000369763885,-0.4377586807234994,-3.93,0.213,49,30.81,1.057,14,28.86,0.75,41
supertrend,DOGE,4h,-47.203000369763885,-0.4377586807234994,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,DOGE,4h,-47.203000369763885,-0.4377586807234994,24.5,0.699,10,23.92,0.731,7,23.92,0.731,7
pairs_spread,DOGE,4h,-47.203000369763885,-0.4377586807234994,-17.09,-0.116,21,0.0,0.0,0,-9.65,0.023,19
squeeze_momentum,DOGE,4h,-47.203000369763885,-0.4377586807234994,-36.89,-0.408,7,-11.02,0.082,3,-24.74,-0.15,5
atr_breakout,DOGE,4h,-47.203000369763885,-0.4377586807234994,-49.71,-0.976,27,-32.78,-0.647,16,-40.75,-0.864,19
amd_ifvg,DOGE,4h,-47.203000369763885,-0.4377586807234994,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,DOGE,4h,-47.203000369763885,-0.4377586807234994,-44.1,-0.821,62,-39.45,-0.961,36,-44.98,-1.109,41
order_blocks,DOGE,4h,-47.203000369763885,-0.4377586807234994,-20.84,-0.153,21,21.68,0.649,9,6.07,0.367,15
vwap_reversion,DOGE,4h,-47.203000369763885,-0.4377586807234994,-57.94,-1.08,163,-35.73,-1.182,52,-49.66,-1.166,107
chart_pattern,DOGE,4h,-47.203000369763885,-0.4377586807234994,3.9,0.351,8,5.9,0.372,6,5.9,0.372,6
liquidity_sweeps,DOGE,4h,-47.203000369763885,-0.4377586807234994,-40.23,-0.625,6,0.0,0.0,0,-43.23,-0.795,4
parabolic_sar,DOGE,4h,-47.203000369763885,-0.4377586807234994,-8.0,0.148,86,39.79,1.156,23,0.67,0.254,56
range_scalper,DOGE,4h,-47.203000369763885,-0.4377586807234994,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,DOGE,4h,-47.203000369763885,-0.4377586807234994,-62.11,-1.242,2,0.0,0.0,0,-62.11,-1.242,2
adx_trend,DOGE,4h,-47.203000369763885,-0.4377586807234994,-59.57,-1.907,15,-59.57,-1.907,15,-59.57,-1.907,15
donchian_breakout,DOGE,4h,-47.203000369763885,-0.4377586807234994,-51.9,-1.169,25,-46.87,-1.16,19,-48.62,-1.201,20
tema_cross,DOGE,4h,-47.203000369763885,-0.4377586807234994,20.34,0.738,17,2.69,0.23,11,2.69,0.23,11
sma_crossover,ADA,4h,-64.69424731994565,-0.9890078402761391,-50.34,-1.213,30,-22.93,-0.607,12,-26.34,-0.736,14
ema_crossover,ADA,4h,-64.69424731994565,-0.9890078402761391,-55.51,-1.445,40,-30.24,-0.913,18,-34.85,-1.072,20
rsi,ADA,4h,-64.69424731994565,-0.9890078402761391,-30.43,-0.385,8,0.0,0.0,0,-30.84,-0.397,7
bollinger_bands,ADA,4h,-64.69424731994565,-0.9890078402761391,-11.95,0.032,21,0.0,0.0,0,-23.61,-0.291,16
macd,ADA,4h,-64.69424731994565,-0.9890078402761391,-66.27,-1.614,92,-12.36,-0.395,20,-59.15,-1.73,55
mean_reversion,ADA,4h,-64.69424731994565,-0.9890078402761391,-55.23,-1.106,31,-3.88,-0.277,1,-38.9,-0.772,23
momentum,ADA,4h,-64.69424731994565,-0.9890078402761391,-58.08,-1.499,33,-39.19,-1.074,19,-50.72,-1.44,24
volume_weighted,ADA,4h,-64.69424731994565,-0.9890078402761391,-28.55,-0.332,14,2.02,0.222,5,-14.59,-0.169,9
triple_ema,ADA,4h,-64.69424731994565,-0.9890078402761391,-47.91,-1.432,34,-47.25,-2.633,15,-47.25,-2.633,15
rsi_macd_combo,ADA,4h,-64.69424731994565,-0.9890078402761391,-44.2,-0.666,11,29.25,1.221,3,-40.51,-0.603,10
stoch_rsi,ADA,4h,-64.69424731994565,-0.9890078402761391,-41.45,-0.61,44,11.57,0.476,12,-21.67,-0.185,38
supertrend,ADA,4h,-64.69424731994565,-0.9890078402761391,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,ADA,4h,-64.69424731994565,-0.9890078402761391,-56.08,-1.183,11,-43.93,-1.034,7,-43.93,-1.034,7
pairs_spread,ADA,4h,-64.69424731994565,-0.9890078402761391,-45.93,-0.875,24,0.0,0.0,0,-34.38,-0.653,19
squeeze_momentum,ADA,4h,-64.69424731994565,-0.9890078402761391,-63.09,-1.248,5,-9.82,-0.055,4,-15.49,-0.149,5
atr_breakout,ADA,4h,-64.69424731994565,-0.9890078402761391,-57.07,-1.458,29,-41.24,-1.036,19,-51.82,-1.451,23
amd_ifvg,ADA,4h,-64.69424731994565,-0.9890078402761391,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
heikin_ashi_ema,ADA,4h,-64.69424731994565,-0.9890078402761391,-57.4,-1.402,64,0.79,0.225,27,-20.06,-0.276,37
order_blocks,ADA,4h,-64.69424731994565,-0.9890078402761391,-65.41,-2.026,23,-46.51,-1.548,14,-58.84,-1.991,17
vwap_reversion,ADA,4h,-64.69424731994565,-0.9890078402761391,-68.85,-1.594,173,-35.74,-1.149,50,-43.38,-0.876,111
chart_pattern,ADA,4h,-64.69424731994565,-0.9890078402761391,-31.32,-0.472,10,-33.55,-0.552,9,-33.55,-0.552,9
liquidity_sweeps,ADA,4h,-64.69424731994565,-0.9890078402761391,-51.68,-0.841,10,-5.23,-0.918,1,-30.46,-0.536,8
parabolic_sar,ADA,4h,-64.69424731994565,-0.9890078402761391,-54.09,-1.205,92,-26.74,-0.902,27,-23.65,-0.425,57
range_scalper,ADA,4h,-64.69424731994565,-0.9890078402761391,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
sweep_squeeze_combo,ADA,4h,-64.69424731994565,-0.9890078402761391,-35.58,-0.512,2,0.0,0.0,0,-24.53,-0.399,1
adx_trend,ADA,4h,-64.69424731994565,-0.9890078402761391,-3.52,0.133,14,-3.52,0.133,14,-3.52,0.133,14
donchian_breakout,ADA,4h,-64.69424731994565,-0.9890078402761391,-48.32,-1.077,25,-38.58,-0.866,18,-43.63,-1.007,19
tema_cross,ADA,4h,-64.69424731994565,-0.9890078402761391,6.44,0.359,18,6.11,0.412,6,6.11,0.412,6
sma_crossover,AVAX,4h,-55.445891783567134,-0.6049042881848399,-33.38,-0.473,26,-52.87,-2.199,11,-51.06,-2.021,13
ema_crossover,AVAX,4h,-55.445891783567134,-0.6049042881848399,-62.21,-1.68,44,-48.09,-2.357,12,-49.78,-2.34,14
rsi,AVAX,4h,-55.445891783567134,-0.6049042881848399,-33.33,-0.365,8,0.0,0.0,0,-25.84,-0.197,8
bollinger_bands,AVAX,4h,-55.445891783567134,-0.6049042881848399,-35.3,-0.432,22,0.0,0.0,0,-37.02,-0.556,17
macd,AVAX,4h,-55.445891783567134,-0.6049042881848399,-62.52,-1.362,95,-24.3,-0.974,21,-44.55,-1.001,50
mean_reversion,AVAX,4h,-55.445891783567134,-0.6049042881848399,-41.16,-0.56,35,-2.56,-0.251,2,-45.25,-0.846,22
momentum,AVAX,4h,-55.445891783567134,-0.6049042881848399,-61.81,-1.435,37,-20.97,-0.311,20,-32.06,-0.56,25
volume_weighted,AVAX,4h,-55.445891783567134,-0.6049042881848399,-39.11,-0.768,25,-31.34,-1.203,8,-45.7,-1.582,12
triple_ema,AVAX,4h,-55.445891783567134,-0.6049042881848399,-59.61,-1.766,39,-49.47,-2.713,12,-49.47,-2.713,12
rsi_macd_combo,AVAX,4h,-55.445891783567134,-0.6049042881848399,-49.15,-0.741,13,-34.5,-1.491,2,-55.56,-1.074,10
stoch_rsi,AVAX,4h,-55.445891783567134,-0.6049042881848399,-0.24,0.309,45,33.56,1.047,10,-4.83,0.179,27
supertrend,AVAX,4h,-55.445891783567134,-0.6049042881848399,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
ichimoku_cloud,AVAX,4h,-55.445891783567134,-0.6049042881848399,-30.06,-0.343,11,-54.45,-1.331,9,-54.45,-1.331,9
pairs_spread,AVAX,4h,-55.445891783567134,-0.6049042881848399,-35.94,-0.557,23,0.0,0.0,0,-33.74,-0.565,17
squeeze_momentum,AVAX,4h,-55.445891783567134,-0.6049042881848399,-0.58,0.182,5,-9.23,-0.11,2,-9.23,-0.11,2
